"","StandNumber","Station","StationID","PointCountID","YEAR","Date","Time","Round","SP","Abundance.x"
"1",1,1,1,1,1998,"Saturday, June 20, 1998",402,2,"MOWA",0
"2",1,1,1,2,1999,"Wednesday, June 16, 1999",400,1,"MOWA",0
"3",1,1,1,3,1999,"Tuesday, June 22, 1999",421,2,"MOWA",0
"4",1,1,1,4,2000,"Saturday, June 10, 2000",453,1,"MOWA",0
"5",1,1,1,5,2000,"Friday, June 16, 2000",419,2,"MOWA",0
"6",1,1,1,6,2001,"Wednesday, June 06, 2001",440,1,"MOWA",0
"7",1,1,1,7,2001,"Monday, June 25, 2001",445,2,"MOWA",0
"8",1,1,1,8,1998,"Tuesday, June 09, 1998",414,1,"MOWA",0
"9",1,1,1,1567,2002,"Tuesday, June 11, 2002",441,1,"MOWA",0
"10",1,1,1,1749,2002,"Tuesday, June 18, 2002",747,2,"MOWA",0
"11",1,1,1,2069,2005,"Monday, June 13, 2005",526,1,"MOWA",0
"12",1,1,1,2327,2005,"Saturday, June 25, 2005",504,2,"MOWA",0
"13",1,1,1,2570,2008,"Thursday, June 12, 2008",846,1,"MOWA",0
"14",1,1,1,2810,2008,"Friday, June 20, 2008",512,2,"MOWA",0
"15",1,1,1,3088,2011,"Sunday, June 05, 2011",450,1,"MOWA",0
"16",1,1,1,3521,2011,"Wednesday, June 15, 2011",451,2,"MOWA",0
"17",1,1,1,3703,2014,"Friday, June 06, 2014",518,1,"MOWA",0
"18",1,1,1,4081,2014,"Monday, June 16, 2014",457,2,"MOWA",0
"19",1,1,1,4165,2017,"Thursday, June 08, 2017",622,1,"MOWA",0
"20",1,1,1,4244,2017,"Saturday, June 24, 2017",509,2,"MOWA",0
"21",1,2,2,9,1998,"Tuesday, June 09, 1998",459,1,"MOWA",0
"22",1,2,2,10,2001,"Monday, June 25, 2001",545,2,"MOWA",0
"23",1,2,2,11,2001,"Wednesday, June 06, 2001",529,1,"MOWA",0
"24",1,2,2,12,2000,"Friday, June 16, 2000",456,2,"MOWA",0
"25",1,2,2,13,2000,"Saturday, June 10, 2000",513,1,"MOWA",0
"26",1,2,2,14,1999,"Tuesday, June 22, 1999",508,2,"MOWA",0
"27",1,2,2,15,1998,"Saturday, June 20, 1998",449,2,"MOWA",0
"28",1,2,2,16,1999,"Wednesday, June 16, 1999",442,1,"MOWA",0
"29",1,2,2,1568,2002,"Tuesday, June 11, 2002",524,1,"MOWA",0
"30",1,2,2,1748,2002,"Tuesday, June 18, 2002",711,2,"MOWA",0
"31",1,2,2,2070,2005,"Monday, June 13, 2005",546,1,"MOWA",0
"32",1,2,2,2328,2005,"Saturday, June 25, 2005",541,2,"MOWA",0
"33",1,2,2,2696,2008,"Thursday, June 12, 2008",804,1,"MOWA",0
"34",1,2,2,2811,2008,"Friday, June 20, 2008",602,2,"MOWA",0
"35",1,2,2,3089,2011,"Sunday, June 05, 2011",600,1,"MOWA",0
"36",1,2,2,3522,2011,"Wednesday, June 15, 2011",543,2,"MOWA",0
"37",1,2,2,3704,2014,"Friday, June 06, 2014",600,1,"MOWA",0
"38",1,2,2,4082,2014,"Monday, June 16, 2014",543,2,"MOWA",0
"39",1,2,2,4169,2017,"Thursday, June 08, 2017",456,1,"MOWA",0
"40",1,2,2,4245,2017,"Saturday, June 24, 2017",540,2,"MOWA",0
"41",1,3,3,17,2000,"Friday, June 16, 2000",549,2,"MOWA",0
"42",1,3,3,18,2000,"Saturday, June 10, 2000",539,1,"MOWA",0
"43",1,3,3,19,2001,"Monday, June 25, 2001",610,2,"MOWA",0
"44",1,3,3,20,1998,"Tuesday, June 09, 1998",551,1,"MOWA",0
"45",1,3,3,21,1999,"Wednesday, June 16, 1999",526,1,"MOWA",0
"46",1,3,3,22,2001,"Wednesday, June 06, 2001",620,1,"MOWA",0
"47",1,3,3,23,1998,"Saturday, June 20, 1998",538,2,"MOWA",0
"48",1,3,3,24,1999,"Tuesday, June 22, 1999",604,2,"MOWA",0
"49",1,3,3,1569,2002,"Tuesday, June 11, 2002",605,1,"MOWA",0
"50",1,3,3,1747,2002,"Tuesday, June 18, 2002",631,2,"MOWA",0
"51",1,3,3,2071,2005,"Monday, June 13, 2005",608,1,"MOWA",0
"52",1,3,3,2329,2005,"Saturday, June 25, 2005",620,2,"MOWA",0
"53",1,3,3,2695,2008,"Thursday, June 12, 2008",706,1,"MOWA",1
"54",1,3,3,2812,2008,"Friday, June 20, 2008",707,2,"MOWA",0
"55",1,3,3,3090,2011,"Sunday, June 05, 2011",626,1,"MOWA",0
"56",1,3,3,3523,2011,"Wednesday, June 15, 2011",631,2,"MOWA",0
"57",1,3,3,3705,2014,"Friday, June 06, 2014",649,1,"MOWA",0
"58",1,3,3,4083,2014,"Monday, June 16, 2014",632,2,"MOWA",0
"59",1,3,3,4166,2017,"Thursday, June 08, 2017",712,1,"MOWA",0
"60",1,3,3,4246,2017,"Saturday, June 24, 2017",630,2,"MOWA",0
"61",2,1,4,25,2001,"Wednesday, June 06, 2001",726,1,"MOWA",0
"62",2,1,4,26,2001,"Monday, June 25, 2001",715,2,"MOWA",0
"63",2,1,4,27,2000,"Friday, June 16, 2000",614,2,"MOWA",0
"64",2,1,4,28,2000,"Saturday, June 10, 2000",735,1,"MOWA",0
"65",2,1,4,29,1999,"Tuesday, June 22, 1999",643,2,"MOWA",0
"66",2,1,4,30,1999,"Wednesday, June 16, 1999",636,1,"MOWA",0
"67",2,1,4,31,1998,"Saturday, June 20, 1998",643,2,"MOWA",0
"68",2,1,4,32,1998,"Tuesday, June 09, 1998",621,1,"MOWA",0
"69",2,1,4,1562,2002,"Tuesday, June 11, 2002",657,1,"MOWA",0
"70",2,1,4,1754,2002,"Tuesday, June 18, 2002",539,2,"MOWA",0
"71",2,1,4,2175,2005,"Tuesday, June 14, 2005",528,1,"MOWA",0
"72",2,1,4,2330,2005,"Saturday, June 25, 2005",710,2,"MOWA",0
"73",2,1,4,2572,2008,"Thursday, June 12, 2008",449,1,"MOWA",0
"74",2,1,4,2813,2008,"Friday, June 20, 2008",745,2,"MOWA",0
"75",2,1,4,3110,2011,"Sunday, June 05, 2011",729,1,"MOWA",0
"76",2,1,4,3524,2011,"Wednesday, June 15, 2011",730,2,"MOWA",0
"77",2,1,4,3706,2014,"Friday, June 06, 2014",722,1,"MOWA",0
"78",2,1,4,4084,2014,"Monday, June 16, 2014",741,2,"MOWA",0
"79",2,1,4,4172,2017,"Thursday, June 08, 2017",830,1,"MOWA",0
"80",2,1,4,4249,2017,"Saturday, June 24, 2017",743,2,"MOWA",0
"81",2,2,5,33,1998,"Saturday, June 20, 1998",706,2,"MOWA",0
"82",2,2,5,34,1999,"Wednesday, June 16, 1999",700,1,"MOWA",0
"83",2,2,5,35,1999,"Tuesday, June 22, 1999",707,2,"MOWA",0
"84",2,2,5,36,2000,"Saturday, June 10, 2000",711,1,"MOWA",0
"85",2,2,5,37,2000,"Friday, June 16, 2000",637,2,"MOWA",0
"86",2,2,5,38,2001,"Wednesday, June 06, 2001",752,1,"MOWA",0
"87",2,2,5,39,2001,"Monday, June 25, 2001",738,2,"MOWA",0
"88",2,2,5,40,1998,"Tuesday, June 09, 1998",645,1,"MOWA",0
