,StandNumber,Station,YEAR,Name,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,OBJECTID_1,Latitude_D,Longitude_,RASTERVALU,FID_,AGENT,SEVERITY,HECT,REGION,COMMENT,Shape_Leng,Shape_Area,StandName,X,StationID,Date,Time,Round,PointCountID
1,1,1,1998,1_1,0,1,23,14585.58414,1,60.24475,-123.44312,1,23,SBW,L,13491.7968,Dehcho,NA,162130.3217,130135122.7,,8,1,"Tuesday, June 09, 1998",414,1,8
2,1,1,1998,1_1,0,1,23,14585.58414,1,60.24475,-123.44312,1,23,SBW,L,13491.7968,Dehcho,NA,162130.3217,130135122.7,,1,1,"Saturday, June 20, 1998",402,2,1
3,1,1,1999,1_1,0,1,29,16509.41526,1,60.24475,-123.44312,1,29,SBW,L,27243.95255,Dehcho,NA,232170.4711,262812502.2,,3,1,"Tuesday, June 22, 1999",421,2,3
4,1,1,1999,1_1,0,1,29,16509.41526,1,60.24475,-123.44312,1,29,SBW,L,27243.95255,Dehcho,NA,232170.4711,262812502.2,,2,1,"Wednesday, June 16, 1999",400,1,2
5,1,1,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,"Saturday, June 10, 2000",453,1,4
6,1,1,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,"Friday, June 16, 2000",419,2,5
7,1,1,2001,1_1,0,1,1282,0,1,60.24475,-123.44312,1,1282,SBW,M,3244.303299,Dehcho,NA,39404.57163,31303356.65,,7,1,"Monday, June 25, 2001",445,2,7
8,1,1,2001,1_1,0,1,1282,0,1,60.24475,-123.44312,1,1282,SBW,M,3244.303299,Dehcho,NA,39404.57163,31303356.65,,6,1,"Wednesday, June 06, 2001",440,1,6
9,1,1,2002,1_1,0,1,3101,0,1,60.24475,-123.44312,1,3101,SBW,S,4606.88544,Dehcho,NA,76361.91356,44452538.73,,10,1,"Tuesday, June 18, 2002",747,2,1749
10,1,1,2002,1_1,0,1,3101,0,1,60.24475,-123.44312,1,3101,SBW,S,4606.88544,Dehcho,NA,76361.91356,44452538.73,,9,1,"Tuesday, June 11, 2002",441,1,1567
11,1,1,2003,1_1,0,1,283,2504.843026,1,60.24475,-123.44312,1,283,SBW,L,1546.418736,Dehcho,NA,53147.8131,15464187.36,,NA,NA,NA,NA,NA,NA
12,1,1,2004,1_1,0,1,0,542281.9277,1,60.24475,-123.44312,1,0,SBW,M,188.878788,Wood Buffalo,NA,5432.852883,1888787.88,,NA,NA,NA,NA,NA,NA
13,1,1,2005,1_1,0,1,26,22752.3592,1,60.24475,-123.44312,1,26,SBW,L,465.9781707,Dehcho,NA,13452.79641,4495550.15,,11,1,"Monday, June 13, 2005",526,1,2069
14,1,1,2005,1_1,0,1,26,22752.3592,1,60.24475,-123.44312,1,26,SBW,L,465.9781707,Dehcho,NA,13452.79641,4495550.15,,12,1,"Saturday, June 25, 2005",504,2,2327
15,1,1,2008,1_1,0,1,74,30545.69439,1,60.24475,-123.44312,1,74,SBW,M,375.8485855,Dehcho,NA,11995.89366,3624725.27,,14,1,"Friday, June 20, 2008",512,2,2810
16,1,1,2008,1_1,0,1,74,30545.69439,1,60.24475,-123.44312,1,74,SBW,M,375.8485855,Dehcho,NA,11995.89366,3624725.27,,13,1,"Thursday, June 12, 2008",846,1,2570
17,1,1,2009,1_1,0,1,35,175242.7761,1,60.24475,-123.44312,1,35,SBW,M,12.14751471,Dehcho,NA,1845.613194,121475.1471,,NA,NA,NA,NA,NA,NA
18,1,1,2010,1_1,0,1,259,175215.318,1,60.24475,-123.44312,1,259,SBW,M,19.93695031,Dehcho,NA,1692.511586,199369.5031,,NA,NA,NA,NA,NA,NA
19,1,1,2011,1_1,0,1,5,178071.5144,1,60.24475,-123.44312,1,5,SBW,M,434.1778474,Nahanni,NA,11883.65945,4205942.014,,15,1,"Sunday, June 05, 2011",450,1,3088
20,1,1,2011,1_1,0,1,5,178071.5144,1,60.24475,-123.44312,1,5,SBW,M,434.1778474,Nahanni,NA,11883.65945,4205942.014,,16,1,"Wednesday, June 15, 2011",451,2,3521
