English_Name,AOUCODE_DUC,SpeciesID,Trend (base model),BNA notes,Water or moist area associated,Proposed hab predictors,Proposed hab predictors NUM,Migration1,Feeding_Class_Breed1,Substrate_Breed1,Breeding Substrate Predictor(s),Forage_Breed1,Nesting_Substrate1,Nesting Predictor,Nesting_Habitat1,Nesting2 Predictor,Nest_Height_Avg,Nest_Type1,Northern_Return_Date,Area_Sensitivity,COSEWIC,Global_Rank,Prov_Rank_Breeding,Prov_Rank_NonBreed,Nesting_Habitat1,Nesting_Habitat2,Nesting_Habitat3,Nesting_Habitat4
Alder Flycatcher,ALFL,ALFL,1.1,"""Wet thicket bird"". Shrubby wetlands, edge of woods, early successional, post-fire. Deciduous forest when shrubs peak",Y,#S+CH+SH+#T ,1+2+3+7,Neotropical migrant,Insectivore,Air,,Sallier,Shrub,#S+SH,Treed/shrubby swamp,%C+#T,1,Cup,May 29,Not applicable,Not evaluated,Very common,Very common,Low priority,Treed/shrubby swamp,Early successional,Bogs,None
American Crow,AMCR,AMCR,10.8,Openness and scattered trees/edges/windbreaks,N,#S+SH+%C+#T ,1+3+4+7,Short distance migrant,Omnivore,Ground,#S+SH+%C+#T,Forager,Coniferous tree,%C,Woodlands,,8,Cup,March 19,Area sensitive,Not evaluated,Very common,Very common,Common,Woodlands,Agricultural,Urban,None
American Redstart,AMRE,AMRE,-4.5,"moist, deciduous woodlands, abundance shrubs. Wetter areas. Openings in old-growth. Mature forest species",Y,#S+SH+%C+BH+DBH ,1+2+4+6+8,Neotropical migrant,Insectivore,Lower canopy / shrub,#S+SH+BH,Gleaner,Deciduous tree,%C,Deciduous woodlands,,2,Cup,May 22,Not sensitive,Not evaluated,Very common,Very common,Low priority,Deciduous woodlands,Mixed woodlands,Early successional,None
American Robin,AMRO,AMRO,-3.3,Early-successional forest/post-fire. Wetter areas (riparian). Needs mix of open area + trees and shrubs,Y,#S+CH+SH+#T ,1+2+3+7,Short distance migrant,Omnivore,Lower canopy / shrub,#S+SH+BH,Forager,Tree - non-specific,,Urban,,2,Cup,April 4,Not sensitive,Not evaluated,Very common,Very common,Common,Urban,Agricultural,Woodlands,None
Black-and-white Warbler,BAWW,BAWW,-2.6,"Mature deciduous or mixedwood stands. Correlated with density of understory trees/shrubs, high tree density, canopy height, and # of shrub species. Wetter areas",Y,#S+SH+%C+BH,1+3+4+6,Neotropical migrant,Insectivore,Bark,,Gleaner,Ground,,Mixed woodlands,CH+#T,0,Cup,May 25,Area sensitive,Not evaluated,Very common,Very common,Low priority,Mixed woodlands,Deciduous woodlands,Woodlands,None
Bay-breasted Warbler,BBWA,BBWA,0.4,"Dense mature conifer - mainly spruce, may nest in young sites in years of Spruce budworm outbreaks. Wetter areas",Y,CH+%C+#T ,2+4+7,Neotropical migrant,Insectivore,Upper canopy,CH,Gleaner,Coniferous tree,%C,Coniferous woodlands,,4,Cup,May 21,No data,Not evaluated,Very common,Very common,Low priority,Coniferous woodlands,Mixed woodlands,Open woodlands,Woodlands
Black-capped Chickadee,BCCH,BCCH,5.7,"Decid forest, near edges, also shrubby areas. Needs canopy of trees",N,#S+SH+#D+BH ,1+3+5+6,Resident,Insectivore,Lower canopy / shrub,#S+SH+BH,Gleaner,Snag,#D,Mixed woodlands,,2,Cavity,Overwinters,Not sensitive,Not evaluated,Very common,Very common,Very common,Mixed woodlands,Deciduous woodlands,Open woodlands,Woodlands
Blue-headed Vireo,BHVI,BHVI,1.4,Mature forest with closed canopy and some shrubs,,#S+SH+%C+BH,1+3+4+6,Short distance migrant,Insectivore,Lower canopy / shrub,#S+SH+BH,Gleaner,Coniferous tree,%C,Mixed woodlands,,3,Cup,May 19,Not sensitive,Not evaluated,Very common,Very common,Low priority,Mixed woodlands,Coniferous woodlands,None,None
Boreal Chickadee,BOCH,BOCH,0.6,Conifer forest young and mature. Some shrubs,Y,#S+SH+%C+#D+BH ,1+3+5+6,Resident,Insectivore,Lower canopy / shrub,#S+SH+BH,Gleaner,Snag,#D,Coniferous woodlands,,3,Cavity,Overwinters,No data,Not evaluated,Very common,Very common,Very common,Coniferous woodlands,Mixed woodlands,Bogs,None
Canada Warbler,CAWA,CAWA,-1.4,Deciduous forest with well developed understory of shrubs,Y,#S+SH+%C+DBH ,1+3+4+8,Neotropical migrant,Insectivore,Lower canopy / shrub,#S+SH+BH,Gleaner,Ground,,Deciduous woodlands,,0,Cup,May 26,Area sensitive,Not evaluated,Very common,Very common,Low priority,Deciduous woodlands,Mixed woodlands,Riparian woodlands,Open woodlands
Chipping Sparrow,CHSP,CHSP,-1.4,"Conifer, low denisty, lots of shrubs,early successional",N,#S+SH+%C+#T ,1+3+4+7,Short distance migrant,Omnivore,Ground,#S+SH+%C+#T,Forager,Coniferous tree,%C,Open woodlands,,2,Cup,May 5,Not sensitive,Not evaluated,Very common,Very common,Low priority,Open woodlands,Woodlands,Agricultural,Urban
Cape May Warbler,CMWA,CMWA,3.9,"Medium to old conifer forest, tall stands, budworm specialist, dense forest in AB",N,CH+%C+#T ,2+4+7,Neotropical migrant,Insectivore,Upper canopy,CH,Gleaner,Coniferous tree,%C,Coniferous woodlands,,11,Cup,May 19,No data,Not evaluated,Very common,Very common,Low priority,Coniferous woodlands,Mixed woodlands,Open woodlands,Woodlands
Common Raven,CORA,CORA,4.6,Everywhere and likes humans. Nests in trees in addition to a variety of other places,N,CH+#T,2+7,Resident,Omnivore,Ground,,Scavenger,Cliff,,Woodlands,,17,Cup,Overwinters,Not sensitive,Not evaluated,Very common,Very common,Very common,Woodlands,Cliffs,None,None
Common Yellowthroat,COYE,COYE,1.1,Thick wetland vegetation ,Y,#S+SH,1+3,Neotropical migrant,Insectivore,Lower canopy / shrub,#S+SH,Gleaner,Ground,,Marsh,,0,Cup,May 23,Not sensitive,Not evaluated,Very common,Very common,Low priority,Marsh,Bogs,Lakes/ponds/rivers,Early successional
